id,date,country_code,country_name,filename
658601468273303198,1990-01-05,jo,Jordan,1990_january_5_658601468273303198_conformed-copy--l3142--industry-and-trade-policy-adjustment-loan--loan-agreement.txt
784351468234894668,1990-01-10,br,Brazil,1990_january_10_784351468234894668_conformed-copy--l3130--third-agricultural-research-project--loan-agreement.txt
891941468049466312,1990-01-11,ma,Malaysia,1990_january_11_891941468049466312_conformed-copy--l3139--rubber-industry-smallholders-development-authority-project--loan-agreement.txt
125511468051878371,1990-01-11,ma,Malaysia,1990_january_11_125511468051878371_conformed-copy--l3145--highway-rehabilitation-and-improvement-project--loan-agreement.txt
733341468033245855,1990-01-16,ivc,Cote d'Ivoire,1990_january_16_733341468033245855_conformed-copy--l3155--abidjan-environmental-protection-project--loan-agreement.txt
603521468295511275,1990-01-19,ph,Philippines,1990_january_19_603521468295511275_conformed-copy--l3146--second-municipal-development-project--loan-agreement.txt
531161468272091367,1990-01-23,me,Montenegro,1990_january_23_531161468272091367_conformed-copy--l3141--second-agricultural-marketing-project--loan-agreement.txt
707061468302738531,1990-01-25,tr,Turkey,1990_january_25_707061468302738531_conformed-copy--l3153--technical-assistance-project--loan-agreement.txt
982071468334274747,1990-01-25,tr,Turkey,1990_january_25_982071468334274747_conformed-copy--l3152--structural-adjustment-loan--loan-agreement.txt
669111468337266603,1990-01-31,zim,Zimbabwe,1990_january_31_669111468337266603_conformed-copy--l3063--agricultural-credit-and-export-promotion-project--loan-agreement.txt
553321468248955526,1990-02-01,yu,Yugoslavia,1990_february_1_553321468248955526_conformed-copy--l3069--slovene-coast-water-supply-and-sewerage-project--loan-agreement-2.txt
537611468095360158,1990-02-01,waf,West African Monetary Union,1990_february_1_537611468095360158_west-africa--third-regional-development-project-:-loan-3161--loan-agreement--conformed.txt
328621468247829056,1990-02-01,yu,Yugoslavia,1990_february_1_328621468247829056_conformed-copy--l3069--slovene-coast-water-supply-and-sewerage-project--loan-agreement-1.txt
954651468026689066,1990-02-02,egt,Egypt,1990_february_2_954651468026689066_conformed-copy--l3103--fourth-power-project--loan-agreement.txt
586931468145152507,1990-02-02,pak,Pakistan,1990_february_2_586931468145152507_conformed-copy--c2078--rural-electrification-project--loan-agreement.txt
